INFO 2023-04-14 12:20:25,301 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:44:07,229 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:46:04,988 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:46:06,315 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:47:06,712 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:47:07,970 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:47:20,623 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:47:21,802 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:48:17,280 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:48:18,587 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:48:31,436 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:48:32,696 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:48:42,026 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:48:43,192 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:48:58,237 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:48:59,547 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 17:49:06,884 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 17:49:08,110 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 18:00:54,975 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 18:00:56,185 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 19:24:39,597 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 19:24:40,809 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 19:46:28,861 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 19:46:30,075 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 20:15:49,860 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 20:15:51,178 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 20:20:29,906 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 20:20:31,283 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 20:20:53,484 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 20:20:54,716 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 20:56:01,988 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 20:56:03,825 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 21:22:22,686 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 21:22:23,916 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 21:59:33,411 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 21:59:34,750 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:36:47,689 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:36:49,022 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:40:35,512 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:40:36,803 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:45:10,431 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:45:11,974 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:45:31,307 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:45:32,597 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:45:40,915 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:45:42,159 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:45:48,442 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:45:49,704 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:45:54,995 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:45:56,274 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:46:04,866 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:46:06,009 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 22:46:14,006 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 22:46:15,606 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:03:34,576 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:03:35,751 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:04:02,067 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:04:03,227 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:04:52,639 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:04:53,920 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:07:36,076 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:07:37,225 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:16:21,152 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:16:22,541 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-14 23:24:21,823 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-14 23:24:23,027 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-15 00:20:20,381 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-15 00:20:21,815 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-15 17:13:54,145 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-15 17:13:55,641 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-15 17:43:10,780 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-15 17:43:12,293 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-17 01:52:25,413 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-17 01:52:26,919 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-17 12:05:48,215 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-17 12:05:49,643 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-17 20:02:42,463 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-17 20:02:43,921 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-17 20:03:34,010 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-17 20:03:35,412 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-17 20:04:56,487 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-17 20:04:58,061 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-18 00:13:00,394 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-18 00:13:01,839 NE_RS_UNBLDRE: Unable to load application resource file /resources/img/palette/windows-95-256-colours-32x.png api\debug\debug.cpp:20 Universa@UNIVERA
ERROR 2023-04-18 00:13:01,839 NE_RS_UNBLDRE: Unable to load application resource file /resources/img/palette/bubblegum-6-32x.png api\debug\debug.cpp:20 Universa@UNIVERA
ERROR 2023-04-18 00:13:02,344 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-18 00:14:23,152 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-18 00:14:24,987 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-18 22:20:47,490 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-18 22:20:48,806 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
INFO 2023-04-19 03:35:05,099 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 Universa@UNIVERA
ERROR 2023-04-19 03:35:06,812 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 Universa@UNIVERA
